#
#**************************************************************
#
#                       OGLE IV FIELDS
#
#**************************************************************
#
###############################################################
#
#   BULGE FIELDS
#
###############################################################
#
# Numbers given mark field centers.
# Width  (along RA)  of the fields are 01:23:00 degrees (maximal) 01:04:25 deg (minimal).
# Height (along DEC) of the fields are 01:14:10 degrees (maximal) 00:35:35 deg (minimal).
#
#  Name       RA[hr]      DEC[deg]       l[deg]       b[deg]     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
#
  BLG678     17:40:22    -31:04:35     357:34:54    -00:09:29   2000.0    17.6727778   -31.0763889   357.5815946    -0.1580962   BLG 678
  BLG679     17:40:10    -32:18:25     356:30:58    -00:46:31   2000.0    17.6694444   -32.3069444   356.5161344    -0.7753138   BLG 679
  BLG680     17:39:06    -37:13:45     352:13:36    -03:12:16   2000.0    17.6516667   -37.2291667   352.2266124    -3.2045414   BLG 680
  BLG683     17:46:39    -25:32:20       3:01:17     01:34:15   2000.0    17.7775000   -25.5388889     3.0213930     1.5707990   BLG 683
  BLG705     18:41:50    -30:27:40       4:25:46    -11:28:47   2000.0    18.6972222   -30.4611111     4.4295079   -11.4798006   BLG 705
  BLG706     18:47:06    -29:50:45       5:29:09    -12:15:30   2000.0    18.7850000   -29.8458333     5.4859033   -12.2582380   BLG 706
  BLG707     18:47:31    -31:04:35       4:22:28    -12:50:45   2000.0    18.7919444   -31.0763889     4.3744092   -12.8458370   BLG 707
  BLG708     18:52:50    -30:27:40       5:25:39    -13:38:27   2000.0    18.8805556   -30.4611111     5.4275924   -13.6407530   BLG 708
  BLG709     18:58:02    -29:50:45       6:28:15    -14:25:36   2000.0    18.9672222   -29.8458333     6.4708975   -14.4266558   BLG 709
  BLG710     18:58:31    -31:04:35       5:20:35    -15:00:19   2000.0    18.9752778   -31.0763889     5.3429346   -15.0053879   BLG 710
  BLG711     19:03:50    -30:27:40       6:23:22    -15:49:16   2000.0    19.0638889   -30.4611111     6.3893256   -15.8210391   BLG 711
  BLG714     17:40:24    -25:18:25       2:28:46     02:53:40   2000.0    17.6733333   -25.3069444     2.4793700     2.8943953   BLG 714
  BLG715     17:35:00    -24:41:30       2:20:50     04:15:27   2000.0    17.5833333   -24.6916667     2.3471920     4.2575298   BLG 715
  BLG717     18:08:30    -23:04:40       7:38:45    -01:30:12   2000.0    18.1416667   -23.0777778     7.6458058    -1.5033339   BLG 717
  BLG852     16:42:40    -29:43:50     351:20:14     10:41:49   2000.0    16.7111111   -29.7305556   351.3372501    10.6968071   BLG 852
  BLG853     16:42:20    -30:57:40     350:19:59     09:57:35   2000.0    16.7055556   -30.9611111   350.3330255     9.9596485   BLG 853
  BLG854     16:37:10    -29:06:55     351:01:30     12:00:29   2000.0    16.6194444   -29.1152778   351.0250727    12.0079944   BLG 854
  BLG855     16:36:50    -30:20:45     350:01:34     11:15:30   2000.0    16.6138889   -30.3458333   350.0260026    11.2583521   BLG 855
  BLG856     16:36:30    -31:34:35     349:01:60     10:30:14   2000.0    16.6083333   -31.5763889   349.0333038    10.5039948   BLG 856
  BLG857     16:31:20    -29:43:50     349:41:42     12:33:31   2000.0    16.5222222   -29.7305556   349.6950459    12.5585582   BLG 857
  BLG858     16:31:00    -30:57:40     348:42:28     11:47:30   2000.0    16.5166667   -30.9611111   348.7078673    11.7915646   BLG 858
  BLG859     16:49:14    -25:25:25     355:40:59     12:17:16   2000.0    16.8205556   -25.4236111   355.6830336    12.2876845   BLG 859
  BLG860     16:48:58    -26:39:15     354:39:36     11:34:09   2000.0    16.8161111   -26.6541667   354.6600481    11.5692981   BLG 860
  BLG861     16:48:42    -27:53:05     353:38:35     10:50:47   2000.0    16.8116667   -27.8847222   353.6431080    10.8463205   BLG 861
  BLG862     16:48:24    -29:06:55     352:37:38     10:07:29   2000.0    16.8066667   -29.1152778   352.6272588    10.1246185   BLG 862
  BLG863     16:48:05    -30:20:45     351:36:53     09:24:05   2000.0    16.8013889   -30.3458333   351.6146451     9.4013578   BLG 863
  BLG864     16:47:45    -31:34:35     350:36:18     08:40:36   2000.0    16.7958333   -31.5763889   350.6050484     8.6766089   BLG 864
